ancien_url,nouveau_url,type_redirect,priorite,commentaire
/admin/sales/customer/,/clients/,301,CRITIQUE,Migration clients hors admin
/admin/sales/quote/,/ventes/devis/,301,CRITIQUE,Migration devis hors admin
/admin/sales/order/,/ventes/commandes/,301,CRITIQUE,Migration commandes hors admin
/admin/billing/invoice/,/ventes/factures/,301,CRITIQUE,Migration factures hors admin
/admin/billing/payment/,/ventes/paiements/,301,CRITIQUE,Migration paiements hors admin
/admin/viticulture/cuvee/,/backoffice/produits/cuvees/,301,HAUTE,Migration cuvées hors admin
/admin/viticulture/lot/,/backoffice/produits/lots/,301,HAUTE,Migration lots hors admin
/admin/viticulture/grapevariety/,/backoffice/referentiels/cepages/,301,HAUTE,Migration cépages hors admin
/admin/viticulture/vineyardplot/,/backoffice/referentiels/parcelles/,301,HAUTE,Migration parcelles hors admin
/admin/viticulture/unitofmeasure/,/backoffice/referentiels/unites/,301,HAUTE,Migration unités hors admin
/admin/viticulture/warehouse/,/backoffice/referentiels/entrepots/,301,HAUTE,Migration entrepôts hors admin
/auth/settings/roles/,/backoffice/utilisateurs/,301,HAUTE,Migration gestion utilisateurs
/auth/settings/roles/invite/,/backoffice/utilisateurs/inviter/,301,HAUTE,Migration invitations
/auth/invite/send/,/backoffice/utilisateurs/invitations/,301,HAUTE,Migration envoi invitations
/auth/settings/billing/,/backoffice/parametres/facturation/,301,HAUTE,Migration paramètres facturation
/auth/settings/general/,/backoffice/parametres/generaux/,301,HAUTE,Migration paramètres généraux
/metadata/monitoring/,/backoffice/monitoring/,301,MOYENNE,Migration monitoring
/metadata/feature-flags/,/backoffice/feature-flags/,301,MOYENNE,Migration feature flags
/onboarding/checklist/,/backoffice/onboarding/,301,MOYENNE,Migration onboarding
/ref/,/referentiels/,301,MOYENNE,Uniformisation nom
/ref/cepages/,/referentiels/cepages/,301,MOYENNE,Uniformisation nom
/ref/cepages/nouveau/,/referentiels/cepages/nouveau/,301,MOYENNE,Uniformisation nom
